,T [K],Time [s],Hardness [HV],C,Mn,Si,Cr,V,W,dataset,DROP,Mo,Ni,Co,Al,Cu,Ti,N,B,S,Izod [J]
100,873.15,360000.0,185.2,0.17,1.2,0.29,0.0,0.0,0.0,Goodall,False,0.0,0.0,0.0,0.03,0.0,0.024,0.004,0.0025,0.002,
101,866.4833333333333,3600.0,185.3185596,0.42,0.0,0.0,0.0,0.0,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
102,810.9277777777778,3600.0,185.3185596,0.2,0.0,0.0,0.0,0.0,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
103,866.4833333,3600.0,185.9411815,0.2,0.35,0.0,0.0,0.0,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
104,866.4833333333333,3600.0,186.18699775678868,0.18,0.3,0.0,0.0,0.0,0.0,Grange,False,0.0,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
105,977.5944444444444,3600.0,186.307043923,0.405,0.75,0.0,0.0,0.0,0.0,handbook,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.6191767449428
106,922.0388888888888,3600.0,186.307043923,0.39,0.71,0.15,0.0,0.0,0.0,handbook,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036,145.75085416779652
107,922.0388888888888,3600.0,186.307043923,0.46,1.37,0.05,0.0,0.0,0.0,handbook,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,82.7051358533543
108,873.0,5400.0,186.9674864,0.41,0.0,0.0,0.0,0.0,0.0,Ohmura,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
109,973.15,3600.0,187.494672,0.15,0.0,0.021,0.0,0.075,0.0,Tanino,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0013,0.0,0.006,
110,922.0388889,3600.0,187.5722915,0.2,0.9,0.0,0.0,0.0,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
111,922.0388888888888,3600.0,188.02810787663304,0.19,0.3,0.0,0.63,0.0,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
112,773.15,3600.0,188.372093,0.057,0.0,0.0,0.0,0.0,0.0,Speich,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
113,773.15,3600.0,189.5348837,0.097,0.0,0.0,0.0,0.0,0.0,Speich,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
114,873.15,3600.0,189.5348837,0.39,0.0,0.0,0.0,0.0,0.0,Speich,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
115,922.0388888888888,3600.0,189.5769343355757,0.19,0.53,0.85,0.0,0.0,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
116,866.4833333333333,3600.0,189.64919995411063,0.19,0.3,0.0,0.1,0.0,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
117,873.15,360000.0,189.7,0.17,1.2,0.28,0.0,0.05,0.0,Goodall,False,0.5,0.0,0.0,0.03,0.0,0.026,0.004,0.0025,0.002,
118,755.3722222222223,3600.0,189.7506925,0.12,0.0,0.0,0.0,0.0,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
119,866.4833333333333,3600.0,189.9637263410989,0.18,0.3,0.0,0.0,0.0,0.0,Grange,False,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
120,810.9277777777778,3600.0,190.519366283,0.39,0.71,0.15,0.0,0.0,0.0,handbook,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036,101.9578068224958
121,922.0388888888888,3600.0,190.519366283,0.335,1.5,0.0,0.0,0.0,0.0,handbook,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,108.46575193882532
122,866.4833333333333,3600.0,190.519366283,0.39,0.71,0.15,0.0,0.0,0.0,handbook,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036,109.41482726829004
123,977.5944444444444,3600.0,190.519366283,0.405,0.71,0.0,0.0,0.0,0.0,handbook,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.8890395357666
124,810.9277777777778,3600.0,190.519366283,0.31,0.65,0.14,0.0,0.0,0.0,handbook,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,119.9902380823255
125,923.0,3600.0,193.0,0.355,1.5,0.0,0.0,0.0,0.0,handbook,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.105,
126,773.15,3600.0,193.2222625,0.19,0.0,0.014,0.0,0.0,0.0,Tanino,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.003,
127,973.0,3600.0,193.3754744,0.23,0.99,0.15,0.16,0.0,0.0,Mukherjee,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0081,0.0,0.02,
128,922.0388889,3600.0,193.5130446,0.2,1.22,0.0,0.0,0.0,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
129,922.0388888888888,3600.0,195.793306048,0.46,1.37,0.05,0.0,0.0,0.0,handbook,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,84.06095775258962
130,977.5944444444444,3600.0,195.793306048,0.515,0.75,0.0,0.0,0.0,0.0,handbook,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.85856065947178
131,866.4833333333333,3600.0,195.793306048,0.46,1.37,0.05,0.0,0.0,0.0,handbook,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,80.67140300450133
132,866.4833333333333,3600.0,195.793306048,0.39,0.71,0.15,0.0,0.0,0.0,handbook,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036,99.65290959379575
133,922.0388888888888,3600.0,195.793306048,0.405,0.75,0.0,0.0,0.0,0.0,handbook,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.55171104723684
134,866.4833333333333,3600.0,195.793306048,0.37,1.4,0.17,0.0,0.0,0.0,handbook,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,43.38630077553013
135,922.0388888888888,3600.0,195.793306048,0.37,1.4,0.17,0.0,0.0,0.0,handbook,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,54.91078691903032
136,866.4833333333333,3600.0,196.2721527088472,0.19,0.3,0.0,0.18,0.0,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
137,922.0388888888888,3600.0,196.422192121232,0.19,0.5,0.0,0.0,0.052,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
138,810.9277777777778,3600.0,196.7061555532308,0.18,0.3,0.0,0.0,0.0,0.0,Grange,False,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
139,810.9277777777778,3600.0,196.74901455439223,0.18,0.3,0.0,0.0,0.0,0.0,Grange,False,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
140,866.4833333333333,3600.0,198.0967274087214,0.2,0.5,0.0,0.0,0.0,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
141,866.4833333333333,3600.0,199.0108253098989,0.19,0.53,0.09,0.0,0.0,0.0,Grange,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
142,773.0,5400.0,199.5367291,0.22,0.0,0.0,0.0,0.0,0.0,Ohmura,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
143,823.0,5400.0,199.5367291,0.41,0.0,0.0,0.0,0.0,0.0,Ohmura,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
144,866.4833333333333,3600.0,199.7229917,0.5,0.0,0.0,0.0,0.0,0.0,Grange,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
145,923.0,3600.0,200.0,0.405,0.75,0.0,0.0,0.0,0.0,handbook,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
146,810.9277777777778,3600.0,200.5387803725836,0.18,0.3,0.0,0.0,0.0,0.0,Grange,False,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
147,922.0388888888888,3600.0,201.076731163,0.335,1.5,0.0,0.0,0.0,0.0,handbook,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,109.82157383806064
148,922.0388888888888,3600.0,201.076731163,0.54,0.69,0.19,0.0,0.0,0.0,handbook,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,37.96301317858886
149,810.9277777777778,3600.0,201.076731163,0.39,0.71,0.15,0.0,0.0,0.0,handbook,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036,92.19588914800153
